clinic_id,name,city,country
1,"Select...\nADANA\nADIYAMAN\nAFYONKARAHİSAR\nAĞRI\nAKSARAY\nAMASYA\nANKARA\nANTALYA\nARDAHAN\nARTVİN\nAYDIN\nBALIKESİR\nBARTIN\nBATMAN\nBAYBURT\nBİLECİK\nBİNGÖL\nBİTLİS\nBOLU\nBURDUR\nBURSA\nÇANAKKALE\nÇANKIRI\nÇORUM\nDENİZLİ\nDİYARBAKIR\nDÜZCE\nEDİRNE\nELAZIĞ\nERZİNCAN\nERZURUM\nESKİŞEHİR\nGAZİANTEP\nGİRESUN\nGÜMÜŞHANE\nHAKKARİ\nHATAY\nIĞDIR\nISPARTA\nİSTANBUL\nİZMİR\nKAHRAMANMARAŞ\nKARABÜK\nKARAMAN\nKARS\nKASTAMONU\nKAYSERİ\nKIRIKKALE\nKIRKLARELİ\nKIRŞEHİR\nKİLİS\nKKTC\nKOCAELİ\nKONYA\nKÜTAHYA\nMALATYA\nMANİSA\nMARDİN\nMERSİN\nMUĞLA\nMUŞ\nNEVŞEHİR\nNİĞDE\nORDU\nOSMANİYE\nRİZE\nSAKARYA\nSAMSUN\nSİİRT\nSİNOP\nSİVAS\nŞANLIURFA\nŞIRNAK\nTEKİRDAĞ\nTOKAT\nTRABZON\nTUNCELİ\nUŞAK\nVAN\nYALOVA\nYOZGAT\nZONGULDAK",,Turkey
2,"Select...",,Turkey
3,"ÖZEL TRAKYA HASTANESİ",,Turkey
4,"Şanlıurfa Metrolife Hastanesi",,Turkey
5,"Atatürk Üniversitesi Tıp Fakültesi Plastik Rekonstrüktif ve Estetik Cerrahi A.B.D ERZURUM",,Turkey
6,"KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ TIP FAKÜLTESİ",,Turkey
7,"ACIBADEM BAKIRKÖY HASTANESİ",,Turkey
8,"ÜSKÜDAR HOSPİTAL TÜRK HASTANESİ",,Turkey
9,"Kilis Prof.Dr.Alaeddin Yavaşca Devlet Hastanesi",,Turkey
10,"Muayenehane",,Turkey
11,"Selçuk üniversitesi",,Turkey
12,"Medicine Hospital Atlas Üniversitesi Hastanesi",,Turkey
13,"BOSTANLI GİRNE BLV NO:1/B KARŞIYAKA/İZMİR",,Turkey
14,"Doç Dr Erkan Orhan Kliniği",,Turkey
15,"ÖZEL MUAYENEHANE",,Turkey
16,"Hairtransplantation Klinik- DR KESER (ÖZEL MUAYENEHANE)",,Turkey
17,"Beautymedic Dortmund-Düsseldorf",,Turkey
18,"GÜLHANE ASKERİ TIP AKADEMİSİ",,Turkey
19,"Özel Muayenehane",,Turkey
20,"Op Dr Adem Özkan Muayenehanesi",,Turkey
21,"Denizli Özel DolphinMed Sağlık Polikliniği",,Turkey
22,"ÖZEL ESTEVİA POLİKLİNİĞİ",,Turkey
23,"marmara ünv. plastik cerrahi abd",,Turkey
24,"Medicalpark Batıkent Hastanesi",,Turkey
25,"Emekli",,Turkey
26,"DOKUZ EYLÜL ÜNİVERSİTESİ HASTANESİ",,Turkey
27,"Neorama Plaza No:13 A /32 Yaşam Caddesi",,Turkey
28,"ANKARA BİLKENT ŞEHİR HASTANESİ",,Turkey
29,"Ege Üniversitesi Tıp Fakültesi, Plastik, Rekonstrüktif ve Estetik Cerrahi Anabilim Dalı",,Turkey
30,"ÖZEL ANTAKYA AKADEMİ HASTANESİ",,Turkey
31,"izmir özel sağlık hastanesi",,Turkey
32,"ÖZEL MUAYENEHANE- HALASKARGAZİ CAD. LOTUS NİŞANTAŞI 38-66 İÇ KAPI NO: 75",,Turkey
33,"Ahmet Torkut Muayenehanesi",,Turkey
34,"İstanbul Atlas Üniversitesi",,Turkey
35,"drcınık tıp merkezi",,Turkey
36,"BAKIRKÖY ACIBADEM HASTANESİ",,Turkey
37,"AHMET TERZİOĞLU ESTETİK SAĞLIK LTD. ŞTİ.",,Turkey
38,"Ondokuz Mayıs Üniversitesi Tıp Fakültesi",,Turkey
39,"Yenigun Mahallesi Mevlana Caddesi No 54 Midtown Plaza A Blok Daire 4",,Turkey
40,"yok",,Turkey
41,"Başkent Üniversitesi Tıp Fakültesi",,Turkey
42,"Özel Medikent Hastanesi",,Turkey
43,"Esteplast Estetik ve Plastik Cerrahi Kliniği",,Turkey
44,"lokman hekim akay hastanesi",,Turkey
45,"Marmara Üniversitesi",,Turkey
46,"Ahmet Kürşat Yiğit",,Turkey
47,"ELBİSTAN DEVLET HASTANESİ",,Turkey
48,"Doç. Dr. Tunç Tiryaki Kliniği",,Turkey
49,"BANDIRMA EĞİTİM VE ARAŞTIRMA HASTANESİ",,Turkey
50,"İSTİNYE ÜNİVERSİTESİ MEDİCAL PARK GAZİOSMANPAŞA HASTANESİ",,Turkey
51,"ESTEPORT/ Muayenehane",,Turkey
52,"ÖZEL MUAYENEHANE- ABDİ İPEKÇİ CADDESİ ÜNSAL APT.NO 6-8 DAİRE :10",,Turkey
53,"ALİYEV CLİNİC",,Turkey
54,"ÖZEL MUAYENEHANE (ÖZEL LEONART POLİKLİNİĞİ)",,Turkey
55,"İZMİR ÖZEL EGEPOL HASTANESİ",,Turkey
56,"Özel Muayenehane / Aurum Plastik Cerrahi",,Turkey
57,"sisli fulya",,Turkey
58,"DHR Health",,Turkey
59,"Nişantaşı Üniversitesi Tıp Fakültesi",,Turkey
60,"hastane/irmet",,Turkey
61,"DOKUZ EYLÜL ÜNİVERSİTESİ TIP FAKÜLTESİ",,Turkey
62,"Este Natura Prof. Dr. Ali Gürlek",,Turkey
63,"FLORYA MEDİCAL PARK HASTANESİ",,Turkey
64,"NCR İnternational Hospital Gaziantep",,Turkey
65,"Özel Poliklinik",,Turkey
66,"Muayenehane - profdremreaksu.com",,Turkey
67,"Özel muayenehane",,Turkey
68,"ÖZEL MUAYENEHANE ZORLU CENTER DAİRE:18-19 BEŞİKTAŞ",,Turkey
69,"emekli",,Turkey
70,"MEDİCANA ATAKÖY İSTANBUL",,Turkey
71,"Muayenehane- Abdi İpekçi Cad. Hayal Apt. No: 39",,Turkey
72,"Yenimahalle Eğitim ve Araştırma Hastanesi",,Turkey
73,"Istanbul Universitesi,Cerrahpasa Tip Fakultesi, Plastik, Rekonstruktif ve Estetik Cerrahi Ana Bilim Dali",,Turkey
74,"Beykent Üniversitesi Hastnesi-İSTANBUL / Optimed International Çorlu Hastanesi-Tekirdağ/ VEGA Hastanesi Çorlu Tekirdağ",,Turkey
75,"Özel Muayenehane - Hüsrev Gerede Cad. Güney Apt. No:72",,Turkey
76,"Bayındır Sağlık Grubu Hastaneleri İstanbul",,Turkey
77,"Dr. Ali Rıza Öreroğlu",,Turkey
78,"SERBEST HEKİM",,Turkey
79,"Esteloft Estetik ve Plastik Cerrahi Klinği",,Turkey
80,"Fulya Mahallesi, Büyükdere Cad. No:74 A Blok 212",,Turkey
81,"İSTANBUL ÜNİVERSİTESİ CERRAHPAŞA TIP FAKÜLTESİ",,Turkey
82,"Afyonkarahisar Sağlık Bilimleri Üniversitesi Tıp Fakültesi",,Turkey
83,"Özel Muayenehane - Bağdat Cad. No:322-8",,Turkey
84,"kendi kliniği",,Turkey
85,"izmir Katip Çelebi Üniversitesi Atatürk Eğitim ve araştırma hastanesi dermatoloji kliniği",,Turkey
86,"Konur Cerrahi Tıp Merkezi Zübeyde Hanım Cad. No:12-1 Çekirge BURSA",,Turkey
87,"VM MEDİCAL PARK ANKARA HASTANESİ",,Turkey
88,"Dr.Alper Eskalen Muayenehanesi",,Turkey
89,"İZMİR TEPECİK EĞİTİM VE ARAŞTIRMA HASTANESİ",,Turkey
90,"AFYONKARAHİSAR DEVLET HASTANESİ",,Turkey
91,"Vanity Estetik",,Turkey
92,"ZONGULDAK ATATÜRK DEVLET HASTANESİ",,Turkey
93,"Acıbadem Maslak Hastanesi",,Turkey
94,"Muayenahane",,Turkey
95,"Klinik Anka Estetik ve Plastik Cerrahi, Op.Dr.Anı Çinpolat-Op.Dr.Gamze Bektaş",,Turkey
96,"İstanbul Üniversitesi-Cerrahpaşa, Cerrahpaşa Tıp Fakültesi",,Turkey
97,"Gaziantep Üniversitesi Şahinbey Araştırma Ve Uygulama Hastanesi",,Turkey
98,"BAŞAKŞEHİR ÇAM ve SAKURA ŞEHİR HASTANESİ",,Turkey
99,"OSMANİYE DEVLET HASTANESİ",,Turkey
100,"Ankara Eğitim ve Araştırma Hastanesi",,Turkey
101,"Siirt Eğitim ve Araştırma Hastanesi",,Turkey
102,"Private practice office",,Turkey
103,"İzmir Ekol Hastanesi",,Turkey
104,"İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA . CERRAHPAŞA TIP FAKÜLTESİ",,Turkey
105,"Özel Ofm Antalya Hastanesi",,Turkey
106,"İSTANBUL MEDENİYET ÜNİVERSİTESİ GÖZTEPE EAH",,Turkey
107,"ÖZEL YAŞAM HASTANESİ",,Turkey
108,"ANTALYA EĞİTİM VE ARAŞTIRMA HASTANESİ PLASTİK CERRAHİ KLİNİĞİ",,Turkey
109,"AG KLİNİK",,Turkey
110,"İSTİNYE ÜNİVERSİTESİ GAZİOSMANPAŞA MEDİCALPARK HASTANESİ",,Turkey
111,"Mare Clinic",,Turkey
112,"Üsküdar Devlet Hastanesi",,Turkey
113,"ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ TIP FAKÜLTESİ",,Turkey
114,"ıstanbul tıp fakültesi /Medilife Çapa hastanesi",,Turkey
115,"Mersin Şehir Hastanesi",,Turkey
116,"ÖZEL MUAYENEHANE- MUĞLA FETHİYE",,Turkey
117,"ESTETİA ESTETIA ESTETİK PLASTİK CERRAHİ",,Turkey
118,"ERCİYES ÜNİVERSİTESİ TIP FAKÜLTESİ HASTANESİ",,Turkey
119,"İstanbul Üniversitesi İstanbul Tıp Fakültesi / Acıbadem Bakırköy Hastanesi",,Turkey
120,"ONURSAL ÜYE",,Turkey
121,"Memorial Bahçelievler Hastanesi",,Turkey
122,"Doç. Dr. A. Tolga Eryılmaz Muayenehanesi",,Turkey
123,"Hacettepe Üniversitesi Tıp Fakültesi",,Turkey
124,"-",,Turkey
125,"ÖZEL MUAYENEHANE (ESTETİK KLİNİK AYDAN AY)",,Turkey
126,"Serbest",,Turkey
127,"TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ TIP FAKÜLTESİ",,Turkey
128,"MUAYENEHANE- FEVZİ ÇAKMAK MAH. 1.YAY SOKAK NO:2/27",,Turkey
129,"Academic Hs Bağlarbaşı İstanbul",,Turkey
130,"samsun eğitim ve araştırma hastanesi",,Turkey
131,"GAZİ ÜNİVERSİTESİ",,Turkey
132,"muayenehane",,Turkey
133,"Vanily Bosphorus Çengelköy İstanbul",,Turkey
134,"serbest",,Turkey
