name,clinic_id,profile_url
"ABDOLREZA KHASH",3,"https://turkplasticsurgery.org/Doctor-Infos/1622"
"Abdulkadir Calavul",4,"https://turkplasticsurgery.org/Doctor-Infos/1247"
"ABDULKERİM OLĞUN",5,"https://turkplasticsurgery.org/Doctor-Infos/1076"
"ABDULLAH DİNÇGÖZOĞLU",6,"https://turkplasticsurgery.org/Doctor-Infos/1430"
"ABDULLAH ETÖZ",7,"https://turkplasticsurgery.org/Doctor-Infos/4"
"ABDULLAH ÇALIK",8,"https://turkplasticsurgery.org/Doctor-Infos/1619"
"ABDULLAH DEMİREL",9,"https://turkplasticsurgery.org/Doctor-Infos/1916"
"ABDULLAH KEÇİK",10,"https://turkplasticsurgery.org/Doctor-Infos/5"
"ABDULLAH ÜNLÜ",11,"https://turkplasticsurgery.org/Doctor-Infos/1546"
"ABDULLAH SÜRÜCÜ",12,"https://turkplasticsurgery.org/Doctor-Infos/1592"
"ABDULLAH ANIL ÖZPAK",13,"https://turkplasticsurgery.org/Doctor-Infos/2041"
"Abdullah Erkan Orhan",14,"https://turkplasticsurgery.org/Doctor-Infos/1018"
"ABDULLAH NURİ ÇELİK",15,"https://turkplasticsurgery.org/Doctor-Infos/562"
"ABDULMUTTALİP KESER",16,"https://turkplasticsurgery.org/Doctor-Infos/6"
"ABDURRAHMAN TEVFİK ŞATIR",17,"https://turkplasticsurgery.org/Doctor-Infos/7"
"ABDÜL KERİM YAPICI",18,"https://turkplasticsurgery.org/Doctor-Infos/9"
"ABDÜLCEBBAR SİYER",19,"https://turkplasticsurgery.org/Doctor-Infos/8"
"ADEM ÖZKAN",20,"https://turkplasticsurgery.org/Doctor-Infos/11"
"ADEM TOPKARA",21,"https://turkplasticsurgery.org/Doctor-Infos/12"
"ADEM USTA",22,"https://turkplasticsurgery.org/Doctor-Infos/1928"
"Adem Atakan Haytaoğlu",23,"https://turkplasticsurgery.org/Doctor-Infos/1625"
"Adile Dikmen",24,"https://turkplasticsurgery.org/Doctor-Infos/1025"
"ADNAN ERDEM",15,"https://turkplasticsurgery.org/Doctor-Infos/14"
"ADNAN UZUNİSMAİL",25,"https://turkplasticsurgery.org/Doctor-Infos/16"
"ADNAN MENDERES",26,"https://turkplasticsurgery.org/Doctor-Infos/15"
"AFET ÖNCEL BOZKURT",15,"https://turkplasticsurgery.org/Doctor-Infos/17"
"AFŞİN UYSAL",27,"https://turkplasticsurgery.org/Doctor-Infos/18"
"Ahmed Şamil Güvel",28,"https://turkplasticsurgery.org/Doctor-Infos/1477"
"AHMET KÜÇÜKÇELEBİ",15,"https://turkplasticsurgery.org/Doctor-Infos/35"
"AHMET BİÇER",29,"https://turkplasticsurgery.org/Doctor-Infos/22"
"AHMET DUYMAZ",30,"https://turkplasticsurgery.org/Doctor-Infos/29"
"AHMET ÇANGA",15,"https://turkplasticsurgery.org/Doctor-Infos/27"
"AHMET AKATEKİN",15,"https://turkplasticsurgery.org/Doctor-Infos/1552"
"AHMET SÖNMEZ",15,"https://turkplasticsurgery.org/Doctor-Infos/38"
"AHMET AŞÇIOĞLU",31,"https://turkplasticsurgery.org/Doctor-Infos/1613"
"AHMET AYDIN",32,"https://turkplasticsurgery.org/Doctor-Infos/1706"
"AHMET TORKUT",33,"https://turkplasticsurgery.org/Doctor-Infos/39"
"AHMET KAHRAMAN",15,"https://turkplasticsurgery.org/Doctor-Infos/33"
"AHMET KAPLAN",34,"https://turkplasticsurgery.org/Doctor-Infos/1645"
"AHMET ÇETİNBAŞ",35,"https://turkplasticsurgery.org/Doctor-Infos/1059"
"AHMET SEYHAN",19,"https://turkplasticsurgery.org/Doctor-Infos/36"
"AHMET ARSLAN",15,"https://turkplasticsurgery.org/Doctor-Infos/20"
"AHMET IŞIKDEMİR",15,"https://turkplasticsurgery.org/Doctor-Infos/32"
"AHMET DİLBER",36,"https://turkplasticsurgery.org/Doctor-Infos/1874"
"AHMET TERZİOĞLU",37,"https://turkplasticsurgery.org/Doctor-Infos/37"
"AHMET DEMİR",38,"https://turkplasticsurgery.org/Doctor-Infos/28"
"Ahmet Körmutlu",19,"https://turkplasticsurgery.org/Doctor-Infos/1054"
"AHMET KARACALAR",15,"https://turkplasticsurgery.org/Doctor-Infos/34"
"AHMET DEMİR",39,"https://turkplasticsurgery.org/Doctor-Infos/1140"
"AHMET ARİF EROĞLU",10,"https://turkplasticsurgery.org/Doctor-Infos/878"
"AHMET CEMAL AYGIT",40,"https://turkplasticsurgery.org/Doctor-Infos/24"
"AHMET CEMİL DALAY",15,"https://turkplasticsurgery.org/Doctor-Infos/25"
